free, chunks, min, max
1024, 1, 1024, 1024
1008, 1, 1008, 1008
976, 1, 976, 976
968, 1, 968, 968
920, 1, 920, 920
848, 1, 848, 848
847, 1, 847, 847
845, 1, 845, 845
893, 2, 48, 845
889, 2, 44, 845
885, 2, 40, 845
957, 2, 112, 845
829, 2, 112, 717
797, 2, 80, 717
733, 2, 16, 717
765, 3, 16, 717
717, 3, 16, 669
701, 3, 16, 669
677, 3, 16, 645
681, 4, 4, 645
673, 4, 4, 645
669, 4, 4, 645
605, 4, 4, 581
349, 4, 4, 325
477, 5, 4, 325
445, 5, 4, 325
461, 6, 4, 325
429, 6, 4, 325
365, 5, 4, 325
397, 5, 4, 325
333, 5, 4, 261
301, 5, 4, 261
253, 5, 4, 213
317, 6, 4, 213
189, 6, 4, 85
253, 7, 4, 85
237, 6, 4, 85
